raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,139,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,278,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,416,4130,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,483,4160,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,549,3720,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,614,2970,3140,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,668,2580,3860,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,722,2470,3870,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,775,2270,3670,1780,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,829,2290,3200,2660,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,855,2150,2820,3140,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,855,1620,2650,3230,1020,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,884,1420,2420,3200,1690,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,913,1080,2470,2990,2300,280,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,942,1030,2350,2810,2540,660,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,971,1160,2120,2610,2650,1070,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1000,1400,1750,2360,2660,1610,210,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1000,1140,1450,2260,2690,1960,470,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1000,880,1170,2310,2610,2220,730,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1000,550,1140,2290,2460,2300,1100,150,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1000,260,1290,2070,2300,2210,1520,320,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1000,80,1340,1720,2190,2250,1770,600,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1000,20,1210,1410,2160,2270,2010,780,130,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1000,0,1020,1160,2230,2290,2000,1030,240,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1000,0,740,1070,2250,2110,1960,1390,430,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1000,0,440,1180,2040,2080,1890,1680,550,130,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1000,0,190,1290,1680,2060,2000,1760,820,170,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1000,0,80,1230,1400,2070,2050,1810,1000,310,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1000,0,30,1130,1150,2150,1990,1720,1250,450,120,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1000,0,20,800,1190,2110,1840,1730,1560,590,130,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1000,0,20,600,1120,1940,1910,1730,1640,720,270,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1000,0,0,400,1120,1680,1970,1780,1640,940,370,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1000,0,0,180,1180,1440,1980,1820,1590,1150,510,120,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1000,0,0,90,1150,1180,2030,1800,1550,1360,560,230,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1000,0,0,30,950,1150,2000,1640,1610,1510,740,280,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1000,0,0,30,740,1130,1760,1810,1600,1510,870,410,110,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1000,0,0,20,500,1130,1650,1820,1670,1430,1050,520,170,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1000,0,0,20,340,1070,1480,1920,1580,1420,1250,570,280,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1000,0,0,20,210,1060,1290,1860,1680,1380,1380,660,330,100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1000,0,0,0,160,940,1190,1840,1610,1410,1430,840,400,150,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1000,0,0,0,50,830,1160,1710,1630,1530,1340,990,460,230,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1000,0,0,0,30,670,1110,1570,1720,1470,1310,1170,550,290,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1000,0,0,0,30,480,1050,1460,1820,1430,1290,1290,620,380,120,20,10,0,0,0,0,0,0,0,0,0,0,0,0
88,1000,0,0,0,20,310,1050,1310,1780,1520,1210,1350,760,450,190,40,10,0,0,0,0,0,0,0,0,0,0,0,0
90,1000,0,0,0,20,210,940,1250,1720,1520,1380,1230,910,480,230,90,20,0,0,0,0,0,0,0,0,0,0,0,0
92,1000,0,0,0,20,160,850,1190,1550,1550,1390,1220,1120,530,270,120,20,10,0,0,0,0,0,0,0,0,0,0,0
94,1000,0,0,0,20,60,730,1150,1530,1600,1370,1160,1190,630,340,170,40,10,0,0,0,0,0,0,0,0,0,0,0
96,1000,0,0,0,0,40,630,1060,1410,1690,1320,1160,1250,740,390,220,70,20,0,0,0,0,0,0,0,0,0,0,0
98,1000,0,0,0,0,40,460,990,1310,1730,1340,1250,1150,870,480,250,100,20,10,0,0,0,0,0,0,0,0,0,0
100,1000,0,0,0,0,30,310,1010,1200,1610,1450,1280,1120,1030,490,270,150,40,10,0,0,0,0,0,0,0,0,0,0
102,1000,0,0,0,0,30,200,890,1200,1520,1470,1290,1090,1100,620,330,180,60,20,0,0,0,0,0,0,0,0,0,0
104,1000,0,0,0,0,20,180,780,1130,1420,1550,1230,1110,1130,700,410,230,80,20,10,0,0,0,0,0,0,0,0,0
106,1000,0,0,0,0,20,110,640,1120,1390,1550,1250,1100,1130,810,470,230,140,30,10,0,0,0,0,0,0,0,0,0
108,1000,0,0,0,0,20,50,580,980,1270,1630,1300,1190,1020,980,440,320,140,60,20,0,0,0,0,0,0,0,0,0
110,1000,0,0,0,0,20,20,460,960,1210,1510,1380,1130,1030,1050,590,330,200,80,20,10,0,0,0,0,0,0,0,0
112,1000,0,0,0,0,0,40,300,960,1150,1450,1400,1180,1040,1020,690,400,220,120,20,10,0,0,0,0,0,0,0,0
114,1000,0,0,0,0,0,30,210,870,1080,1470,1420,1140,1020,1080,780,480,210,130,60,20,0,0,0,0,0,0,0,0
116,1000,0,0,0,0,0,30,180,740,1100,1300,1460,1240,1030,980,960,430,290,170,60,20,10,0,0,0,0,0,0,0
118,1000,0,0,0,0,0,30,140,600,1040,1270,1470,1240,1080,910,970,600,320,200,100,20,10,0,0,0,0,0,0,0
120,1000,0,0,0,0,0,30,80,510,970,1150,1520,1250,1130,960,950,640,400,210,140,50,10,0,0,0,0,0,0,0
122,1000,0,0,0,0,0,30,30,450,940,1090,1420,1310,1170,900,1020,740,400,270,150,50,20,10,0,0,0,0,0,0
124,1000,0,0,0,0,0,20,20,320,900,1070,1380,1380,1090,980,960,890,400,290,190,80,20,10,0,0,0,0,0,0
